Project ID,Task ID,Corrections,Grammar,Spelling,Consistency,Comment,User
,null,2,1,3,5,null,depuyn
2498,null,3,3,3,3,"The chapter is written in colloquial style with some regionalisms. A few sentences were very difficult to understand, as they were incomplete. In translating, I have tried to capture both the colloquial nature of the diction as well as the potential intended meanings. ",Maria Lydia Spinelli
1801,4164,5,5,4,5,null,asrahimi.ug
1499,3848,3,3,2,3,There are still some sheets that are not translated. I just proofread the translated sheets.,adeleh.jahedi
1622,null,3,3,3,3,Excellent job! Clean translation. Just integrated the terms to the website which is not available to the translator yet! Thanks...,baharcelik7
2422,5888,5,4,4,5,Interesting and readable result.,Marinus Kruissen
2424,5904,4,4,4,4,A few small errors which have been highlighted in the file by means of comments.,Olav van der Willik
2422,5882,5,5,5,5,null,aurynbearer
2464,5994,3,3,3,3,Dear Sharon\r\nGreetyings and a very Happpy New Year.  Many thanks for this translation and hope all is well with you.\r\nkind regards\r\nBride,bride.counihan
2465,5995,3,3,3,3,Hallo Sharon\r\nThanks again for doing this one.\r\nregards\r\nBride,bride.counihan
2492,6111,4,5,5,5,null,Ticiana MG
2418,5850,3,3,3,3,There were very few changes to be made in the text.\r\nMichael J McCann,Michael J Mc Cann t/a InfoMarex 
2504,null,3,3,5,2,null,nermy44
2424,5900,5,5,5,5,null,petr8888a
407,1174,3,3,3,3,Thank you so much Jasna! It's really incredible that you are able to help us with so many languages!! We really appreciate all of your time and hard work.,Kristen.Williams
2504,6141,3,3,3,3,Thank you so much for this! We really appreciate being able to now reach an entire huge population of people with this single translation. ,Kristen.Williams
2526,null,5,5,5,2,"There were sentences that felt directly translated with no transition in between.\r\nSome of the sentences felt placed randomly in the text with no connection to the theme of the text.\r\nThere were few words that were repeated two or three time in one sentence and would be repeated again one sentence later - \""right\"" and \""Catalonia\"".\r\nAlthough the gaps in the unity of the text, the grammar and spelling are at good standard.",igor.kostt
2530,null,5,5,4,5,null,nguyenthanhthu111
2531,null,5,5,5,4,null,nguyenthanhthu111
2534,null,5,5,5,5,null,Mariangela Marquez Rivera
2418,5862,4,4,3,4,null,evalespinassee
2518,6167,3,3,3,3,Dear Julie\r\nThanks very much indeed for doing this translation for us.\r\nblessings for 2015\r\nBride Counihan,bride.counihan
2533,null,5,5,5,4,null,nguyenthanhthu111
2088,null,3,3,3,3,Please note that page 25 of this document is a page from another survey. ,Hsin-wen
2522,null,4,5,4,4,I wasn't sure what an 'NA' is so I assumed (based on context) that it means social worker. ,hannah_sibley13
2541,null,5,5,5,5,null,Clarinesvp
2418,5854,5,4,4,5,null,xyandre.m
2516,null,5,5,5,5,null,xyandre.m
2534,6214,4,4,5,5,null,evalespinassee
2523,null,3,3,3,3,"I am having problems lately with my spelling checker. I tried to use one free via online, but I am still having my doubts.\r\n\r\nRegards,\r\n\r\n",mariebie19
2510,null,3,3,3,3,"Es necesario que otra persona la verifique, habia algunas palabras que no podia reconocer,  he buscado y buscado por internet pero nada. He puesto algunas frases en rojo. Es mas, a veces, no fluye muy bien. A veces, noy hay mucho sentido en lo que escrito, es bastante dificil,\r\n\r\ngracias",xx-dani16-xx
2545,null,5,5,5,4,"There is hesitation on the spelling of the words Seleka and Balaka in the Spanish source. \r\nThere is a mistake on page 6, when speaking about the DRC, Danish Refugee Council. In the Spanish source document, it is translated as the Norwegian council.",Ines Cendon
2546,null,4,4,5,5,null,LauraHarris
